severity,code,scope,floor,development_level,encounter_id,message,evidence,recommendation
P2,SATURATED_RESULT,Normal,1,H,f1_c5_shield_encounter,该档固定构筑的聚合结果接近全胜或全败。,胜率 100.0 %,先结合 N/H 档定位是合理端点还是遭遇缺少区分度。
P2,SATURATED_RESULT,Normal,1,H,f1_c5_summon_encounter,该档固定构筑的聚合结果接近全胜或全败。,胜率 100.0 %,先结合 N/H 档定位是合理端点还是遭遇缺少区分度。
P2,SATURATED_RESULT,Boss,1,H,f1_c6_boss_encounter,该档固定构筑的聚合结果接近全胜或全败。,胜率 100.0 %,先结合 N/H 档定位是合理端点还是遭遇缺少区分度。
P2,SATURATED_RESULT,Normal,1,H,f1_early_summon_encounter,该档固定构筑的聚合结果接近全胜或全败。,胜率 100.0 %,先结合 N/H 档定位是合理端点还是遭遇缺少区分度。
P2,SATURATED_RESULT,Normal,1,H,f1_mid_mechanic_encounter,该档固定构筑的聚合结果接近全胜或全败。,胜率 100.0 %,先结合 N/H 档定位是合理端点还是遭遇缺少区分度。
P2,SATURATED_RESULT,Normal,1,H,f1_opening_encounter,该档固定构筑的聚合结果接近全胜或全败。,胜率 100.0 %,先结合 N/H 档定位是合理端点还是遭遇缺少区分度。
P2,SATURATED_RESULT,Normal,1,H,f1_route_normal_encounter,该档固定构筑的聚合结果接近全胜或全败。,胜率 100.0 %,先结合 N/H 档定位是合理端点还是遭遇缺少区分度。
P2,SATURATED_RESULT,Normal,1,H,f1_route_safe_encounter,该档固定构筑的聚合结果接近全胜或全败。,胜率 100.0 %,先结合 N/H 档定位是合理端点还是遭遇缺少区分度。
P2,SATURATED_RESULT,Normal,1,H,f1_safe_normal_encounter,该档固定构筑的聚合结果接近全胜或全败。,胜率 100.0 %,先结合 N/H 档定位是合理端点还是遭遇缺少区分度。
P2,ROUTE_FLAT,Normal,1,N,f1_route_normal_encounter,三条 C4 路线的战斗压力几乎相同。,最大计分胜率差 0.0 %,拉开敌方数值或机制强度，让风险标签可由实战感知。
P2,SATURATED_RESULT,Elite,1,N,f1_c4_elite_encounter,该档固定构筑的聚合结果接近全胜或全败。,胜率 100.0 %,先结合 N/H 档定位是合理端点还是遭遇缺少区分度。
P2,SATURATED_RESULT,Event,1,N,f1_c4_event_ambush_encounter,该档固定构筑的聚合结果接近全胜或全败。,胜率 100.0 %,先结合 N/H 档定位是合理端点还是遭遇缺少区分度。
P2,SATURATED_RESULT,Normal,1,N,f1_c5_shield_encounter,该档固定构筑的聚合结果接近全胜或全败。,胜率 100.0 %,先结合 N/H 档定位是合理端点还是遭遇缺少区分度。
P2,SATURATED_RESULT,Normal,1,N,f1_c5_summon_encounter,该档固定构筑的聚合结果接近全胜或全败。,胜率 100.0 %,先结合 N/H 档定位是合理端点还是遭遇缺少区分度。
P2,SATURATED_RESULT,Boss,1,N,f1_c6_boss_encounter,该档固定构筑的聚合结果接近全胜或全败。,胜率 100.0 %,先结合 N/H 档定位是合理端点还是遭遇缺少区分度。
P2,SATURATED_RESULT,Normal,1,N,f1_early_summon_encounter,该档固定构筑的聚合结果接近全胜或全败。,胜率 100.0 %,先结合 N/H 档定位是合理端点还是遭遇缺少区分度。
P2,SATURATED_RESULT,Normal,1,N,f1_mid_mechanic_encounter,该档固定构筑的聚合结果接近全胜或全败。,胜率 100.0 %,先结合 N/H 档定位是合理端点还是遭遇缺少区分度。
P2,SATURATED_RESULT,Normal,1,N,f1_opening_encounter,该档固定构筑的聚合结果接近全胜或全败。,胜率 100.0 %,先结合 N/H 档定位是合理端点还是遭遇缺少区分度。
P2,SATURATED_RESULT,Normal,1,N,f1_route_normal_encounter,该档固定构筑的聚合结果接近全胜或全败。,胜率 100.0 %,先结合 N/H 档定位是合理端点还是遭遇缺少区分度。
P2,SATURATED_RESULT,Normal,1,N,f1_route_safe_encounter,该档固定构筑的聚合结果接近全胜或全败。,胜率 100.0 %,先结合 N/H 档定位是合理端点还是遭遇缺少区分度。
P2,SATURATED_RESULT,Normal,1,N,f1_safe_normal_encounter,该档固定构筑的聚合结果接近全胜或全败。,胜率 100.0 %,先结合 N/H 档定位是合理端点还是遭遇缺少区分度。
P2,ROUTE_FLAT,Normal,2,H,f2_route_normal_encounter,三条 C4 路线的战斗压力几乎相同。,最大计分胜率差 0.0 %,拉开敌方数值或机制强度，让风险标签可由实战感知。
P2,SATURATED_RESULT,Elite,2,H,f2_c4_elite_encounter,该档固定构筑的聚合结果接近全胜或全败。,胜率 100.0 %,先结合 N/H 档定位是合理端点还是遭遇缺少区分度。
P2,SATURATED_RESULT,Event,2,H,f2_c4_event_ambush_encounter,该档固定构筑的聚合结果接近全胜或全败。,胜率 100.0 %,先结合 N/H 档定位是合理端点还是遭遇缺少区分度。
P2,SATURATED_RESULT,Normal,2,H,f2_c5_break_encounter,该档固定构筑的聚合结果接近全胜或全败。,胜率 100.0 %,先结合 N/H 档定位是合理端点还是遭遇缺少区分度。
P2,SATURATED_RESULT,Normal,2,H,f2_c5_spell_encounter,该档固定构筑的聚合结果接近全胜或全败。,胜率 100.0 %,先结合 N/H 档定位是合理端点还是遭遇缺少区分度。
P2,SATURATED_RESULT,Boss,2,H,f2_c6_boss_encounter,该档固定构筑的聚合结果接近全胜或全败。,胜率 100.0 %,先结合 N/H 档定位是合理端点还是遭遇缺少区分度。
P2,SATURATED_RESULT,Normal,2,H,f2_early_spell_encounter,该档固定构筑的聚合结果接近全胜或全败。,胜率 100.0 %,先结合 N/H 档定位是合理端点还是遭遇缺少区分度。
P2,SATURATED_RESULT,Normal,2,H,f2_mid_mechanic_encounter,该档固定构筑的聚合结果接近全胜或全败。,胜率 100.0 %,先结合 N/H 档定位是合理端点还是遭遇缺少区分度。
P2,SATURATED_RESULT,Normal,2,H,f2_normal_encounter,该档固定构筑的聚合结果接近全胜或全败。,胜率 100.0 %,先结合 N/H 档定位是合理端点还是遭遇缺少区分度。
P2,SATURATED_RESULT,Normal,2,H,f2_opening_encounter,该档固定构筑的聚合结果接近全胜或全败。,胜率 100.0 %,先结合 N/H 档定位是合理端点还是遭遇缺少区分度。
P2,SATURATED_RESULT,Normal,2,H,f2_route_normal_encounter,该档固定构筑的聚合结果接近全胜或全败。,胜率 100.0 %,先结合 N/H 档定位是合理端点还是遭遇缺少区分度。
P2,SATURATED_RESULT,Normal,2,H,f2_route_safe_encounter,该档固定构筑的聚合结果接近全胜或全败。,胜率 100.0 %,先结合 N/H 档定位是合理端点还是遭遇缺少区分度。
P2,ROUTE_FLAT,Normal,2,N,f2_route_normal_encounter,三条 C4 路线的战斗压力几乎相同。,最大计分胜率差 0.0 %,拉开敌方数值或机制强度，让风险标签可由实战感知。
P2,SATURATED_RESULT,Elite,2,N,f2_c4_elite_encounter,该档固定构筑的聚合结果接近全胜或全败。,胜率 100.0 %,先结合 N/H 档定位是合理端点还是遭遇缺少区分度。
P2,SATURATED_RESULT,Event,2,N,f2_c4_event_ambush_encounter,该档固定构筑的聚合结果接近全胜或全败。,胜率 100.0 %,先结合 N/H 档定位是合理端点还是遭遇缺少区分度。
P2,SATURATED_RESULT,Normal,2,N,f2_c5_break_encounter,该档固定构筑的聚合结果接近全胜或全败。,胜率 100.0 %,先结合 N/H 档定位是合理端点还是遭遇缺少区分度。
P2,SATURATED_RESULT,Normal,2,N,f2_c5_spell_encounter,该档固定构筑的聚合结果接近全胜或全败。,胜率 100.0 %,先结合 N/H 档定位是合理端点还是遭遇缺少区分度。
P2,SATURATED_RESULT,Normal,2,N,f2_early_spell_encounter,该档固定构筑的聚合结果接近全胜或全败。,胜率 100.0 %,先结合 N/H 档定位是合理端点还是遭遇缺少区分度。
P2,SATURATED_RESULT,Normal,2,N,f2_mid_mechanic_encounter,该档固定构筑的聚合结果接近全胜或全败。,胜率 100.0 %,先结合 N/H 档定位是合理端点还是遭遇缺少区分度。
P2,SATURATED_RESULT,Normal,2,N,f2_normal_encounter,该档固定构筑的聚合结果接近全胜或全败。,胜率 100.0 %,先结合 N/H 档定位是合理端点还是遭遇缺少区分度。
P2,SATURATED_RESULT,Normal,2,N,f2_opening_encounter,该档固定构筑的聚合结果接近全胜或全败。,胜率 100.0 %,先结合 N/H 档定位是合理端点还是遭遇缺少区分度。
P2,SATURATED_RESULT,Normal,2,N,f2_route_normal_encounter,该档固定构筑的聚合结果接近全胜或全败。,胜率 100.0 %,先结合 N/H 档定位是合理端点还是遭遇缺少区分度。
P2,SATURATED_RESULT,Normal,2,N,f2_route_safe_encounter,该档固定构筑的聚合结果接近全胜或全败。,胜率 100.0 %,先结合 N/H 档定位是合理端点还是遭遇缺少区分度。
P2,BRANCH_GAP,Normal,3,H,f3_c5_forge_encounter,C5 二选一战斗存在明显难度差。,计分胜率：不熄炉墙终检 42.8 %，裂炉誓刃终检 1.7 %,确认该差异是否由奖励补偿；若没有，收敛数值或强化风险提示。
P2,ROUTE_FLAT,Normal,3,N,f3_route_normal_encounter,三条 C4 路线的战斗压力几乎相同。,最大计分胜率差 0.0 %,拉开敌方数值或机制强度，让风险标签可由实战感知。
P2,SATURATED_RESULT,Elite,3,N,f3_c4_elite_encounter,该档固定构筑的聚合结果接近全胜或全败。,胜率 0.0 %,先结合 N/H 档定位是合理端点还是遭遇缺少区分度。
P2,SATURATED_RESULT,Event,3,N,f3_c4_event_ambush_encounter,该档固定构筑的聚合结果接近全胜或全败。,胜率 0.0 %,先结合 N/H 档定位是合理端点还是遭遇缺少区分度。
P2,SATURATED_RESULT,Normal,3,N,f3_c5_forge_encounter,该档固定构筑的聚合结果接近全胜或全败。,胜率 0.0 %,先结合 N/H 档定位是合理端点还是遭遇缺少区分度。
P2,SATURATED_RESULT,Normal,3,N,f3_c5_wild_encounter,该档固定构筑的聚合结果接近全胜或全败。,胜率 0.0 %,先结合 N/H 档定位是合理端点还是遭遇缺少区分度。
P2,SATURATED_RESULT,Boss,3,N,f3_c6_boss_encounter,该档固定构筑的聚合结果接近全胜或全败。,胜率 0.0 %,先结合 N/H 档定位是合理端点还是遭遇缺少区分度。
P2,SATURATED_RESULT,Normal,3,N,f3_early_summon_encounter,该档固定构筑的聚合结果接近全胜或全败。,胜率 0.3 %,先结合 N/H 档定位是合理端点还是遭遇缺少区分度。
P2,SATURATED_RESULT,Normal,3,N,f3_mid_mechanic_encounter,该档固定构筑的聚合结果接近全胜或全败。,胜率 0.0 %,先结合 N/H 档定位是合理端点还是遭遇缺少区分度。
P2,SATURATED_RESULT,Normal,3,N,f3_normal_encounter,该档固定构筑的聚合结果接近全胜或全败。,胜率 0.2 %,先结合 N/H 档定位是合理端点还是遭遇缺少区分度。
P2,SATURATED_RESULT,Normal,3,N,f3_opening_encounter,该档固定构筑的聚合结果接近全胜或全败。,胜率 0.0 %,先结合 N/H 档定位是合理端点还是遭遇缺少区分度。
P2,SATURATED_RESULT,Normal,3,N,f3_route_normal_encounter,该档固定构筑的聚合结果接近全胜或全败。,胜率 0.0 %,先结合 N/H 档定位是合理端点还是遭遇缺少区分度。
P2,SATURATED_RESULT,Normal,3,N,f3_route_safe_encounter,该档固定构筑的聚合结果接近全胜或全败。,胜率 0.0 %,先结合 N/H 档定位是合理端点还是遭遇缺少区分度。
